   0.998378E-04   0.759093E-09   0.225403E-06   0.550312E-08
   0.400007E-03   0.239805E-07   0.357940E-05   0.872001E-07
   0.899971E-03   0.138322E-06   0.125173E-04   0.303914E-06
   0.159997E-02   0.477645E-06   0.300980E-04   0.727541E-06
   0.250000E-02   0.125285E-05   0.594912E-04   0.143032E-05
   0.359982E-02   0.276893E-05   0.104321E-03   0.249236E-05
   0.489992E-02   0.544239E-05   0.168503E-03   0.399694E-05
   0.640005E-02   0.982213E-05   0.256392E-03   0.603296E-05
   0.809997E-02   0.166180E-04   0.372954E-03   0.869812E-05
   0.999993E-02   0.267392E-04   0.523916E-03   0.121009E-04
   0.120999E-01   0.413357E-04   0.715854E-03   0.163612E-04
   0.143999E-01   0.618529E-04   0.956354E-03   0.216117E-04
   0.169000E-01   0.901030E-04   0.125432E-02   0.280030E-04
   0.195999E-01   0.128355E-03   0.162016E-02   0.357046E-04
   0.225000E-01   0.179454E-03   0.206620E-02   0.449100E-04
   0.255999E-01   0.246956E-03   0.260699E-02   0.558393E-04
   0.288998E-01   0.335320E-03   0.325979E-02   0.687445E-04
   0.323998E-01   0.450168E-03   0.404539E-02   0.839182E-04
   0.360999E-01   0.598581E-03   0.498864E-02   0.101697E-03
   0.399999E-01   0.789525E-03   0.611949E-02   0.122472E-03
   0.441000E-01   0.103442E-02   0.747434E-02   0.146699E-03
   0.483999E-01   0.134780E-02   0.909724E-02   0.174908E-03
   0.529000E-01   0.174842E-02   0.110425E-01   0.207726E-03
   0.576000E-01   0.226034E-02   0.133762E-01   0.245882E-03
   0.624999E-01   0.291487E-02   0.161802E-01   0.290239E-03
   0.676000E-01   0.375269E-02   0.195555E-01   0.341806E-03
   0.729000E-01   0.482693E-02   0.236271E-01   0.401770E-03
   0.783998E-01   0.620702E-02   0.285496E-01   0.471514E-03
   0.840999E-01   0.798377E-02   0.345146E-01   0.552647E-03
   0.899999E-01   0.102749E-01   0.417572E-01   0.647004E-03
   0.961000E-01   0.132310E-01   0.505633E-01   0.756639E-03
   0.102400       0.170398E-01   0.612730E-01   0.883759E-03
   0.108900       0.219250E-01   0.742809E-01   0.103062E-02
   0.115600       0.281322E-01   0.900206E-01   0.119929E-02
   0.122500       0.358925E-01   0.108932       0.139128E-02
   0.129600       0.453597E-01   0.131406       0.160712E-02
   0.136900       0.565251E-01   0.157699       0.184585E-02
   0.144400       0.691505E-01   0.187850       0.210474E-02
   0.152100       0.827752E-01   0.221622       0.237936E-02
   0.160000       0.968200E-01   0.258499       0.266413E-02
   0.168100       0.110750       0.297769       0.295326E-02
   0.176400       0.124195       0.338645       0.324159E-02
   0.184900       0.136983       0.380382       0.352517E-02
   0.193600       0.149093       0.422356       0.380131E-02
   0.202500       0.160593       0.464091       0.406855E-02
   0.211600       0.171586       0.505252       0.432627E-02
   0.220900       0.182175       0.545621       0.457445E-02
   0.230400       0.192453       0.585068       0.481344E-02
   0.240100       0.202495       0.623523       0.504377E-02
   0.250000       0.173476       0.539929       0.158283E-01
   0.260100       0.179436       0.563411       0.152700E-01
   0.270400       0.185806       0.587518       0.146398E-01
   0.280900       0.192595       0.612282       0.139335E-01
   0.291600       0.199813       0.637739       0.131466E-01
   0.302500       0.207470       0.663922       0.122744E-01
   0.313600       0.214926       0.688784       0.130055E-01
   0.324900       0.221895       0.711402       0.161109E-01
   0.336400       0.229213       0.734459       0.194402E-01
   0.348100       0.236884       0.757975       0.230045E-01
   0.360000       0.244914       0.781969       0.268154E-01
   0.372100       0.253311       0.806460       0.308851E-01
   0.384400       0.262081       0.831467       0.352259E-01
   0.396900       0.271234       0.857007       0.398509E-01
   0.409600       0.280437       0.882022       0.468222E-01
   0.422500       0.288007       0.901255       0.662576E-01
   0.435600       0.295798       0.920551       0.870734E-01
   0.448900       0.303806       0.939910       0.109335    
   0.462400       0.312031       0.959328       0.133111    
   0.476100       0.320473       0.978799       0.158472    
   0.490000       0.329131       0.998320       0.185491    
   0.504100       0.338467        1.01928       0.216693    
   0.518400       0.352350        1.05320       0.272493    
   0.532900       0.366832        1.08808       0.331981    
   0.547600       0.381938        1.12394       0.395320    
   0.562500       0.397690        1.16082       0.462685    
   0.577600       0.414111        1.19873       0.534253    
   0.592900       0.431227        1.23770       0.610208    
   0.608400       0.449064        1.27777       0.690740    
   0.624100       0.467649        1.31895       0.776049    
   0.640000       0.487009        1.36129       0.866334    
   0.656100       0.507174        1.40481       0.961810    
   0.672400       0.528173        1.44954        1.06269    
   0.688900       0.550038        1.49550        1.16920    
   0.705600       0.572800        1.54274        1.28157    
   0.722500       0.596279        1.59071        1.39164    
   0.739600       0.618890        1.63519        1.43648    
   0.756900       0.642345        1.68072        1.48271    
   0.774400       0.666672        1.72734        1.53034    
   0.792100       0.691902        1.77508        1.57944    
   0.810000       0.718063        1.82395        1.63004    
   0.828100       0.745190        1.87398        1.68218    
   0.846400       0.773312        1.92519        1.73591    
   0.864900       0.802465        1.97762        1.79128    
   0.883600       0.832683        2.03129        1.84833    
   0.902500       0.856357        2.06777        1.89024    
   0.921600       0.880473        2.10427        1.93261    
   0.940900       0.905162        2.14106        1.97569    
   0.960400       0.930432        2.17816        2.01951    
   0.980100       0.956293        2.21557        2.06408    
    1.00000       0.982755        2.25327        2.10939    
